Date,Stock,Ticker,Sector,Current_Price,Horizon,Signal,Signal_Strength,Reason,Probability_Up,Confidence,Model_Accuracy,Predicted_Direction,Recommended_Position
2026-02-18,Barclays,BARC.L,Banking,473.9500122070313,1d,HOLD,0.0,Low confidence,0.5253880569824161,0.0507761139648321,0.5101626016260162,UP ↑,1000.0
2026-02-18,Barclays,BARC.L,Banking,473.9500122070313,7d,HOLD,0.0,Low confidence,0.5196857400819616,0.0393714801639231,0.4817073170731707,UP ↑,1000.0
2026-02-18,Barclays,BARC.L,Banking,473.9500122070313,30d,HOLD,0.0,Low confidence,0.527451474872433,0.054902949744866,0.5975609756097561,UP ↑,1000.0
2026-02-18,Barclays,BARC.L,Banking,473.9500122070313,90d,HOLD,0.0,Low confidence,0.527451474872433,0.054902949744866,0.5975609756097561,UP ↑,1000.0
2026-02-18,HSBC,HSBA.L,Banking,1270.199951171875,1d,HOLD,0.0,Low confidence,0.4897637686979113,0.0204724626041774,0.5386178861788617,DOWN ↓,1000.0
2026-02-18,HSBC,HSBA.L,Banking,1270.199951171875,7d,HOLD,0.0,Low confidence,0.5320773930753564,0.0641547861507128,0.6565040650406504,UP ↑,1000.0
2026-02-18,HSBC,HSBA.L,Banking,1270.199951171875,30d,HOLD,0.0,Low confidence,0.506479379507335,0.01295875901467,0.4186991869918699,UP ↑,1000.0
2026-02-18,HSBC,HSBA.L,Banking,1270.199951171875,90d,HOLD,0.0,Low confidence,0.506479379507335,0.01295875901467,0.4186991869918699,UP ↑,1000.0
2026-02-18,Lloyds Banking,LLOY.L,Banking,102.75,1d,HOLD,0.0,Low confidence,0.451959066285956,0.096081867428088,0.4369918699186992,DOWN ↓,1000.0
2026-02-18,Lloyds Banking,LLOY.L,Banking,102.75,7d,HOLD,0.0,Low confidence,0.465722114491405,0.0685557710171899,0.4857723577235772,DOWN ↓,1000.0
2026-02-18,Lloyds Banking,LLOY.L,Banking,102.75,30d,HOLD,0.0,Low confidence,0.489497314799675,0.0210053704006499,0.4186991869918699,DOWN ↓,1000.0
2026-02-18,Lloyds Banking,LLOY.L,Banking,102.75,90d,HOLD,0.0,Low confidence,0.489497314799675,0.0210053704006499,0.4186991869918699,DOWN ↓,1000.0
